ID_1	ISSN	ShortName	LongName	Year	SciSS	ISI_Category	ISI	ImpactFactor	IF_percentile	Citation_2yr	Article_2yr	Citation_ALL	Eigenfactor	EF_percentile	ArticleInfluence	AI_percentile	Citation_5yr	SelfCitation_5yr	Article_5yr	Notes	ID_2	RowUpdate	CatName	CatID	Price	Country	First_Pub	Publisher	normPrice	CE	EFn
NULL	1063-7710	ACOUST PHYS+	ACOUSTICAL PHYSICS	2014	Sci	AA	ISI	NULL	NULL	NULL	NULL	NULL	0.00139487	0.388125	0.165433	0.154821	152	NULL	531	NULL	0	2016-02-10 17:40:35	NULL	0	3228.00	Russian-Federation	1955	M-A-I-K-Nauka---Interperiodica	NULL	NULL	0.156226
NULL	1585-1923	ACROSS LANG CULT	Across Languages and Cultures	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.000234077	0.075625	0.230335	0.229018	13	NULL	64	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	0.00		0		NULL	NULL	0.0262166
NULL	1944-8244	ACS APPL MATER INTER	ACS Applied Materials & Interfaces	2014	Sci	NS B1	ISI	NULL	NULL	NULL	NULL	NULL	0.0940638	0.987768	1.37253	0.881696	25790	NULL	4316	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	1250.00		0		NULL	NULL	10.5351
NULL	2155-5435	ACS CATAL	ACS Catalysis	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.0325105	0.950179	2.28251	0.95	7648	NULL	897	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	0.00		0		NULL	NULL	3.64117
NULL	1554-8929	ACS CHEM BIOL	ACS Chemical Biology	2014	Sci	CQ	ISI	NULL	NULL	NULL	NULL	NULL	0.0292852	0.944554	2.08394	0.941607	4531	NULL	885	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	2295.00		0		NULL	NULL	3.27994
NULL	1948-7193	ACS CHEM NEUROSCI	ACS Chemical Neuroscience	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00838901	0.798839	1.32078	0.872946	1627	NULL	400	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	0.00		0		NULL	NULL	0.939569
NULL	2156-8952	ACS COMB SCI	ACS Combinatorial Science	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.0029248	0.576071	0.672244	0.628393	784	NULL	274	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	0.00		0		NULL	NULL	0.327578
NULL	2161-1653	ACS MACRO LETT	ACS Macro Letters	2014	NULL	UY	ISI	NULL	NULL	NULL	NULL	NULL	0.0138932	0.870982	1.62933	0.912768	2898	NULL	537	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	NULL	NULL	NULL	NULL	NULL	NULL	1.55603
NULL	1948-5875	ACS MED CHEM LETT	ACS Medicinal Chemistry Letters	2014			ISI	NULL	NULL	NULL	NULL	NULL	0.00960024	0.821518	0.872428	0.743929	2088	NULL	693	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	0.00		0		NULL	NULL	1.07523
NULL	1936-0851	ACS NANO	ACS Nano	2014	Sci	A3 NS B1	ISI	NULL	NULL	NULL	NULL	NULL	0.310211	0.998036	3.97884	0.980089	66303	NULL	4910	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	1472.00		0		NULL	NULL	34.7436
NULL	2330-4022	ACS PHOTONICS	ACS Photonics	2014	NULL	UB	ISI	NULL	NULL	NULL	NULL	NULL	0.0000646	0.0179464	0	0.00446429	5	NULL	0	NULL	0	2016-02-10 17:40:35	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.0072352
NULL	2168-0485	ACS SUSTAIN CHEM ENG	ACS Sustainable Chemistry & Engineering	2014	NULL	II	ISI	NULL	NULL	NULL	NULL	NULL	0.00291625	0.575446	0.900277	0.755536	786	NULL	204	NULL	0	2016-02-10 17:40:35	PHYSICS AND CHEMISTRY	137	NULL	NULL	NULL	NULL	NULL	NULL	0.32662
NULL	2161-5063	ACS SYNTH BIOL	ACS Synthetic Biology	2014	NULL	CO	ISI	NULL	NULL	NULL	NULL	NULL	0.00709004	0.769107	3.28315	0.9725	598	NULL	136	NULL	0	2016-02-10 17:40:35	MOLECULAR AND CELL BIOLOGY	1	NULL	NULL	NULL	NULL	NULL	NULL	0.794084
NULL	1091-5397	ACSMS HEALTH FIT J	ACSMS HEALTH & FITNESS JOURNAL	2014	Sci	XW	ISI	NULL	NULL	NULL	NULL	NULL	0.000111689	0.0326786	0.047849	0.0357143	29	NULL	147	NULL	0	2016-02-10 17:40:35	SPORTS MEDICINE	59	126.00	UNITED STATES	0		NULL	NULL	0.0125092
